SNID,redshift_offset,offset_outlier
2001ah,0.0006099999999999994,False
2001az,-0.00010200000000000486,False
2001da,-0.0012330000000000015,False
2001en,-0.0009439999999999987,False
2001fe,0.0009639999999999996,False
2001gb,0.0010900000000000007,False
2001G,0.0005690000000000001,False
2001ic,-0.0012870000000000034,False
2001V,0.0010380000000000007,False
2002bf,0.0005600000000000015,False
2002bz,0.0006849999999999981,False
2002ck,0.0004559999999999981,False
2002cr,0.000902,False
2002de,0.00015200000000000283,False
2002dj,0.0010559999999999996,False
2002dp,-0.0011990000000000004,False
2002eu,-0.0009079999999999991,False
2002fk,-0.0005050000000000002,False
2002G,0.0008290000000000033,False
2002ha,-0.001004999999999999,False
2002he,0.000283000000000002,False
2002kf,0.0001779999999999976,False
2003ae,0.0009399999999999964,False
2003ch,0.0006260000000000016,False
2003cq,0.00047599999999999726,False
2003du,0.0002669999999999999,False
2003fa,-0.00023999999999999716,False
2003hu,-0.0002959999999999907,False
2001ay,0.0006780000000000015,False
2001bf,-0.0003099999999999995,False
2001C,0.00015500000000000062,False
2001cp,-1.4999999999997654e-05,False
2001eh,-0.0008630000000000027,False
2001ep,-6.399999999999982e-05,False
2001fh,-0.0008910000000000012,False
2001gc,2.6999999999999247e-05,False
2001ie,0.0004740000000000022,False
2001N,0.001068999999999997,False
2002ar,0.0011040000000000008,False
2002bo,0.0010560000000000005,False
2002cd,-0.0006120000000000014,False
2002do,-0.0007220000000000004,False
2002es,-0.0005269999999999997,False
2002hw,-0.0012180000000000003,False
2002jy,-0.0008990000000000005,False
2003ai,0.0007650000000000018,False
2003cg,0.0011809999999999998,False
2003D,0.0011609999999999988,False
2003K,5.199999999999996e-05,False
2003kf,0.00031099999999999964,False
2004ap,0.0011570000000000018,False
2004fu,-0.0005459999999999996,False
2004K,0.0008510000000000045,False
2005dv,0.00023300000000000057,False
2005ew,-0.0004819999999999998,False
2005ke,-0.00039099999999999985,False
2005ls,-0.000621,False
2006ah,0.001017999999999998,False
2006al,0.0012759999999999994,False
2006an,0.0011919999999999986,False
2006B,-0.0011210000000000005,False
2006bd,0.0011140000000000004,False
2006bk,0.0004539999999999961,False
2006br,0.0009680000000000001,False
2006bu,0.0009919999999999929,False
2006bz,0.0009149999999999991,False
2006cc,0.00013799999999999923,False
2006cg,0.0008969999999999985,False
2006cj,0.0009489999999999915,False
2006cm,-0.001095999999999998,False
2006cs,0.0007069999999999993,False
2006em,-0.0007160000000000014,False
2006H,-0.0005170000000000001,False
2006ha,-0.0012560000000000002,False
2006hn,0.00013799999999999923,False
2006je,-0.000900999999999999,False
2006ke,-5.199999999999996e-05,False
2006le,-0.00016199999999999895,False
2006lf,-0.00023299999999999883,False
2006mq,0.0008230000000000004,False
2006or,0.0009880000000000028,False
2006os,-0.0007229999999999945,False
2006X,0.0010859999999999993,False
2007au,0.00028700000000000253,False
2007ax,0.0007870000000000004,False
2007bm,0.0012380000000000004,False
2007bz,0.0009790000000000007,False
2007cg,0.001023000000000003,False
2007cp,0.0011639999999999984,False
2007H,0.001003999999999998,False
2007N,0.0011389999999999994,False
2007S,0.001167999999999999,False
2004ef,-0.001229000000000001,False
2005be,0.0006150000000000044,False
2005eq,-0.000617999999999997,False
2005iq,-0.001122999999999999,False
2005M,0.0009979999999999989,False
2006is,9.40000000000038e-05,False
2009dc,0.00031899999999999984,False
2008fv,0.00019800000000000026,False
1997bq,0.00019800000000000026,False
2010ai,0.0009090000000000001,False
2002fb,-0.0008380000000000002,False
2002hd,0.0010539999999999994,False
2002hu,-0.000785000000000001,False
2003ic,-0.0011509999999999992,False
2003it,-0.0011529999999999978,False
2003iv,-0.0007469999999999977,False
2003kc,0.0009360000000000063,False
2004as,0.0011019999999999988,False
2003U,-0.00016600000000000295,False
2003W,0.001077999999999999,False
2004bg,0.0011079999999999979,False
2004L,0.0011499999999999982,False
2005el,-1.0999999999998858e-05,False
2005am,0.0010810000000000004,False
2005kc,-0.001235,False
2005cf,0.0005830000000000002,False
2005lz,-0.0008319999999999994,False
2005eu,-0.0008039999999999992,False
2005mz,-0.0005370000000000028,False
2005hf,-0.0010520000000000043,False
2005ki,0.0011970000000000001,False
2005ms,0.0007349999999999995,False
2005mc,0.0008229999999999973,False
2005na,0.0005269999999999997,False
2006ac,0.0008589999999999987,False
2005lu,-0.0007100000000000023,False
2006ar,0.0003839999999999989,False
2006ak,0.0010410000000000003,False
2006bb,0.0006239999999999996,False
2006ax,0.0012470000000000016,False
2006az,0.0005500000000000019,False
2006cp,0.0010490000000000013,False
2006bq,-0.0004599999999999986,False
2006bt,0.0003270000000000009,False
2006bw,0.0007880000000000005,False
2006cf,0.0007710000000000009,False
2006cz,0.0007540000000000047,False
2006cq,0.0008400000000000005,False
2006D,0.0011260000000000003,False
2006en,-0.0011690000000000034,False
2006et,-0.0009960000000000004,False
2006eu,-0.000671999999999999,False
2006ef,-0.0008730000000000022,False
2006ej,-0.0011199999999999995,False
2006ev,-0.0011440000000000027,False
2006gj,-0.0005939999999999973,False
2006gr,-0.0011509999999999992,False
2006gt,-0.0011419999999999972,False
2006hb,7.999999999999327e-06,False
2006kf,-0.0004919999999999994,False
2006mp,-0.00011399999999999952,False
2006mo,-0.0010279999999999942,False
2006ot,-0.000781999999999998,False
2006qo,0.00034099999999999756,False
2006S,0.0008590000000000056,False
2006sr,-0.001183,False
2006td,-0.0008369999999999992,False
2006N,-7.000000000000062e-06,False
2006te,0.0005669999999999981,False
2007ae,-0.00014699999999999436,False
2007af,0.0008289999999999999,False
2007al,0.001162999999999999,False
2007ap,0.000338999999999999,False
2007ai,0.00035299999999999915,False
2007ar,0.0004330000000000028,False
2007ba,0.0005840000000000012,False
2007bc,0.0011140000000000004,False
2007bd,0.0009710000000000031,False
2007ca,0.0010229999999999996,False
2007ci,0.0011079999999999979,False
2007O,0.00038499999999999646,False
2007co,-0.00041300000000000017,False
2007cq,-0.0012260000000000014,False
2007F,0.0005830000000000002,False
2007qe,-0.0011639999999999984,False
2007R,0.000453000000000002,False
2007sr,0.0011860000000000004,False
2008af,0.0006149999999999975,False
2008bf,0.0010910000000000017,False
2008L,-0.0005479999999999999,False
2004dt,-0.0009160000000000001,False
2004eo,-0.0009690000000000011,False
2004ey,-0.001165000000000001,False
2004gc,4.000000000000531e-05,False
2005A,-0.0007950000000000006,False
2004gu,0.001113999999999997,False
2004gs,0.000896000000000001,False
2005ag,0.0006969999999999893,False
2005al,0.0008990000000000005,False
2005bg,0.0011100000000000033,False
2005bl,0.0010909999999999982,False
2005bo,0.0011380000000000001,False
2005W,-0.0009359999999999993,False
2006bh,-0.00035000000000000135,False
2006dd,-0.0003560000000000004,False
2006mr,-0.0003560000000000004,False
2006lu,0.0010859999999999967,False
2007A,-0.0011849999999999986,False
2007as,0.00034199999999999856,False
2007hj,-0.001235,False
2007le,-0.0011980000000000003,False
2008bc,0.0006390000000000007,False
2007nq,-0.0011400000000000021,False
2008ar,0.0011430000000000017,False
2008bz,0.0011509999999999992,False
2008C,0.00046699999999999867,False
2007so,-0.0007549999999999987,False
2008bt,0.001243000000000001,False
2008bi,0.0009650000000000006,False
2008cd,0.0010589999999999992,False
2008cf,0.000893999999999999,False
2007on,-0.0003049999999999997,False
2007st,-0.0005229999999999992,False
2007ux,0.0011350000000000006,False
2008bd ,0.001232000000000004,False
2008fu ,-0.000558999999999997,False
2008gg,-0.000951999999999998,False
2008go,-0.001117,False
2008ia,0.0006260000000000016,False
2008O,0.0005090000000000025,False
2008R,-0.0006080000000000009,False
2008bq,0.00047699999999999826,False
2008cc,-0.0002669999999999999,False
2009aa,0.0012209999999999999,False
2008ff,-0.0005310000000000002,False
2008fl,-0.0004939999999999979,False
2008fp,0.0006320000000000006,False
2008fr,-0.0011029999999999998,False
2009ab,-0.0002999999999999999,False
2008fw,0.0009700000000000004,False
2008gl,-0.0010780000000000026,False
2009ad,-6.0000000000001025e-05,False
2008gp,-0.0005790000000000031,False
2008hj,-0.0011830000000000035,False
2008hu,0.000904000000000002,False
2009ag,0.000622000000000001,False
2008hv,0.0010530000000000001,False
2009al,0.0012110000000000003,False
2009cz,0.0008730000000000022,False
2009D,-0.0003390000000000025,False
2009ds,0.0012400000000000015,False
2009F,-3.399999999999931e-05,False
2009I,-0.000732,False
2009le,-0.0007549999999999987,False
2009P,0.0012620000000000027,False
2009Y,0.0007589999999999993,False
03D1ax,-0.0011970000000000036,False
03D3ay,0.0005379999999999829,False
03D3ba,0.0005129999999999857,False
2012cg,0.00112,False
2007fb,-0.001230000000000002,False
2011fe,0.0004010000000000001,False
2007fs,-0.0010490000000000013,False
2007kk,-0.0004720000000000002,False
2008dh,-0.0011499999999999982,False
2011by,0.000562,False
2008eg,-0.0009650000000000006,False
2008ek,0.0002940000000000026,False
2008eo,-0.0010460000000000018,False
2008eq,-3.9999999999970615e-06,False
2008fk,-0.0008349999999999885,False
2008hs,-0.0007159999999999979,False
2008Y,0.0006299999999999917,False
2009an,0.00034299999999999956,False
2009ee,0.0009580000000000005,False
2009eu,8.100000000000121e-05,False
2009fv,7.100000000000162e-05,False
2009hn,-0.0008040000000000026,False
2009hp,-0.0006980000000000007,False
2009ig,-0.0007609999999999995,False
2009kq,0.0007810000000000004,False
2010ao,0.0009740000000000026,False
2010hs,-0.0008589999999999987,False
2010ii,-0.0011019999999999988,False
2010ju,0.00010899999999999972,False
2011bd,-0.0002360000000000001,False
2011df,-0.000529,False
2011dl,0.0002139999999999989,False
2011dz,0.00020600000000000132,False
2011ek,-0.0008189999999999994,False
2011fs,-0.0010770000000000016,False
2011M,-0.00016199999999999895,False
2012E,-0.0008079999999999997,False
2012gl,0.0011339999999999996,False
2013bs,-0.0001260000000000011,False
2013dr,-0.00014300000000000077,False
2013dy,-0.0010069999999999996,False
2013ex,0.00014899999999999983,False
2013fa,-0.0010039999999999997,False
2013fw,-0.0010899999999999972,False
2013gh,-0.0010659999999999992,False
2013gq,0.0007679999999999996,False
2013gy,-0.00045600000000000154,False
2014ai,0.0008349999999999989,False
2014ao,0.0009690000000000011,False
2014bj,-0.0006079999999999974,False
2014J,0.00026199999999999997,False
2015N,-0.0009370000000000003,False
2017dws,0.0004709999999999992,False
2017erp,0.0006430000000000003,False
2017fgc,-0.0010509999999999999,False
2017hbi,-0.0007520000000000027,False
2018aoz,0.001137,False
2018dem,-0.001125000000000001,False
2018gv,0.0008619999999999999,False
010010,0.0012839999999999935,False
010026,0.0005159999999999991,False
010454,0.0005710000000000021,False
080064,-0.0004199999999999898,False
2017cbv,0.0006679999999999993,False
1972E,0.0009110000000000001,False
1980N,-0.0003560000000000004,False
130308,0.00043400000000000383,False
140181,0.0007670000000000038,False
160046,8.299999999999974e-05,False
160099,0.0004060000000000036,False
300105,-0.0013319999999999999,False
330075,0.0006509999999999988,False
360156,0.0012189999999999979,False
370356,0.0007209999999999994,False
420100,-0.0013009999999999966,False
480058,0.0007180000000000034,False
490007,0.0007360000000000005,False
1981B,0.0011460000000000003,False
500038,0.0012840000000000074,False
1981D,-0.0003560000000000004,False
520001,0.0005789999999999962,False
530061,-0.0012930000000000025,False
1986G,0.0008499999999999998,False
530086,-0.001244000000000002,False
1989B,0.0011619999999999998,False
1990af,-0.0003980000000000025,False
1990N,0.001068,False
590194,0.0006390000000000007,False
1990O,-6.600000000000009e-05,False
1990T,-0.000343000000000003,False
1990Y,-0.00034,False
1991ag,-0.00034900000000000035,False
1991bg,0.0011029999999999998,False
1991M,0.00032200000000000024,False
1991S,0.001118000000000001,False
1991T,0.001144,False
1991U,0.00102,False
1992A,-0.00031899999999999984,False
1992ae,-0.0004230000000000067,False
1992ag,0.0010229999999999996,False
1992al,-0.0005050000000000002,False
1992aq,-0.0009709999999999996,False
1992au,-0.0006859999999999991,False
1992bc,-0.0004060000000000001,False
1992bg,0.0004950000000000024,False
1992bh,0.00010000000000000286,False
1992bk,-0.00016100000000000142,False
1992bl,-0.0007969999999999991,False
1992bo,-0.0007820000000000014,False
1992bp,-0.0004519999999999941,False
1992br,-0.00044500000000000095,False
1992bs,-0.0003490000000000021,False
1992G,0.000876,False
1992J,0.0011719999999999994,False
1992K,0.0008510000000000011,False
1992P,0.0011110000000000009,False
1993ag,0.0010930000000000037,False
1993ah,-0.0010229999999999996,False
1993B,0.0011580000000000062,False
1993H,0.0009000000000000015,False
1993L,-0.000908,False
1993O,0.0009689999999999976,False
1994D,0.0011179999999999999,False
1998aq,0.0005660000000000001,False
1998bu,0.0011650000000000002,False
1999aw,0.0012800000000000034,False
1999by,0.0005699999999999998,False
1999cp,0.000902,False
1999da,-0.00019699999999999926,False
1999dk,-0.0010229999999999996,False
1999ee,-0.0008710000000000002,False
2000bh,0.0011660000000000004,False
2000bk,0.0011859999999999996,False
2000ca,0.0009249999999999987,False
2000E,-0.0005279999999999998,False
2001ba,0.0011409999999999997,False
2001bt,-0.00019199999999999946,False
2001cn,-6.700000000000109e-05,False
2001cz,0.0009729999999999999,False
2001el,-0.00021700000000000018,False
2002cx,0.0010529999999999984,False
2002er,-2.199999999999945e-05,False
2006ct,0.0007190000000000044,False
2006ou,0.0011490000000000007,False
2007aj,0.0005509999999999994,False
2007bj,0.0002689999999999984,False
2007cb,0.0009310000000000013,False
2007cc,0.000895,False
2007cf,0.0005460000000000048,False
2007cn,-0.0012169999999999993,False
2007cs,-0.0011399999999999987,False
2007ev,-0.0012139999999999998,False
2007fq,-0.0008499999999999966,False
2007hg,-0.0003470000000000001,False
2007hu,-1.000000000001e-06,False
2007if,-0.0011419999999999902,False
2007ir,-0.0007320000000000035,False
2007is,1.000000000001e-06,False
2007kd,0.0008380000000000019,False
2007kf,-0.00018699999999999967,False
2007kg,-0.0007170000000000006,False
2007kh,-0.000562,False
2007ob,-0.0012649999999999953,False
2007rx,-0.001184000000000001,False
2007ss,0.0006149999999999992,False
2007su,-0.001228,False
2007sw,0.0007209999999999994,False
2008A,-0.0009010000000000008,False
2008050,0.001013,False
2008051,0.0005780000000000021,False
2008ac,0.0007230000000000014,False
2008ad,0.0009600000000000025,False
2008ae,0.0011460000000000012,False
2008ai,0.0009069999999999981,False
2008at,0.0002489999999999992,False
2008bw,-0.0003769999999999954,False
2008by,0.0008370000000000044,False
2008cm,0.0004330000000000011,False
2008dr,-0.001235,False
2008ds,-0.0010839999999999982,False
2008dt,-1.000000000001e-06,False
2008gb,-0.0005900000000000002,False
2008hm,-0.0004860000000000003,False
2008Q,-0.0010410000000000003,False
2008Z,0.000844000000000001,False
2009bv,0.0008099999999999982,False
2009do,0.0006300000000000056,False
2009gf,0.0008009999999999996,False
2009jr,-0.0009429999999999994,False
2009kk,-0.0004230000000000015,False
04D3ez,0.0004830000000000112,False
05D2ah,0.0013779999999999903,False
05D3ne,0.0004499999999999782,False
06D2fb,0.0013050000000000006,False
06D3dt,0.0005059999999999509,False
06D3fp,0.00048399999999998444,False
06D3gn,0.0004939999999999944,False
2009lf,-0.0009489999999999985,False
2009li,-0.0012220000000000009,False
2009na,0.0010439999999999998,False
2009nq,-0.0012239999999999994,False
2010A,-0.0007989999999999976,False
2010ag,-4.600000000000437e-05,False
2010cr,0.0009779999999999997,False
2010dt,4.699999999999843e-05,False
2010dw,0.0005929999999999963,False
2010H,0.0008579999999999994,False
2010Y,0.00036699999999999927,False
PTF10bjs,0.0005360000000000018,False
1993ac,-5.2999999999997494e-05,False
1993ae,-0.001021000000000001,False
1994ae,0.0011229999999999999,False
1994M,0.001176,False
1994Q,-1.1000000000000593e-05,False
1994S,0.0009459999999999989,False
1994T,0.0010729999999999976,False
1995ac,-0.001237999999999996,False
1995ak,-0.0007500000000000007,False
1995al,0.0008809999999999998,False
1995bd,-0.00016699999999999875,False
1995D,0.0011200000000000003,False
1995E,8.800000000000127e-05,False
1996ab,0.0004829999999999973,False
1996ai,0.0007590000000000001,False
1996bk,0.00033299999999999996,False
1996bl,-0.0011889999999999956,False
1996bo,-0.0009750000000000002,False
1996bv,6.1000000000002025e-05,False
1996C,0.0005129999999999996,False
1996X,0.0010049999999999998,False
1996Z,0.0011089999999999997,False
1997bp,0.0011360000000000016,False
1997br,0.0010219999999999995,False
1997cn,0.0007980000000000001,False
1997cw,-0.0011849999999999986,False
1997dg,-0.001191000000000001,False
1997do,0.00035799999999999894,False
1997dt,-0.0012250000000000004,False
1997E,-1.1000000000000593e-05,False
1997Y,0.0005339999999999998,False
1998ab,0.0007500000000000007,False
1998bp,-0.0002699999999999994,False
1998co,-0.0010980000000000018,False
1998D,0.0006589999999999999,False
1998de,-0.0010759999999999988,False
1998dh,-0.0012429999999999993,False
1998dk,-0.0011909999999999994,False
1998dm,-0.0010030000000000004,False
1998dx,-0.00033600000000000296,False
1998ec,0.00022799999999999904,False
1998ef,-0.0010110000000000015,False
1998eg,-0.0012510000000000021,False
1998es,-0.0010039999999999997,False
1998V,-0.00040899999999999964,False
1999aa,0.0008179999999999993,False
1999ac,0.0003169999999999996,False
1999cc,0.0002020000000000008,False
1999cl,0.001083999999999999,False
1999cw,-0.0011589999999999986,False
1999dq,-0.0007890000000000015,False
1999ef,-0.0011410000000000031,False
1999ej,-0.0009530000000000007,False
1999ek,8.800000000000127e-05,False
1999gd,0.0008160000000000008,False
1999gh,0.0011230000000000007,False
1999gp,-0.0007209999999999994,False
1999X,0.0007430000000000006,False
2000B,0.0002610000000000008,False
2000ce,0.00019699999999999926,False
2000cf,3.100000000000325e-05,False
2000cn,-0.0002950000000000001,False
2000cx,-0.0010410000000000003,False
2000dk,-0.0010010000000000019,False
2000fa,0.0005310000000000002,False
ASASSN-14eu,0.0006850000000000016,False
ASASSN-14fa,-0.0005250000000000012,False
ASASSN-14kd,-0.0012580000000000022,False
ASASSN-14lw,-0.0006339999999999991,False
iPTF13dge,-4.60000000000009e-05,False
iPTF13ebh,-0.0007810000000000004,False
iPTF14atg,0.0009440000000000004,False
iPTF14bdn,0.0007760000000000006,False
LSQ11ot,7.000000000000062e-06,False
LSQ12gdj,-0.0010490000000000013,False
LSQ13crf,-0.0006549999999999959,False
LSQ13ddu,-0.0002730000000000024,False
LSQ13ry,0.0012289999999999975,False
PS1-14xw,9.30000000000028e-05,False
PTF09dnp,0.00026800000000000435,False
PTF10icb,0.00044500000000000095,False
2005df,4.000000000000531e-06,False
2006dm,-0.001228,False
2007cv,0.0011590000000000003,False
2007gi,0.0004330000000000002,False
2008dx,0.0009229999999999933,False
2008ec,-0.0012510000000000004,False
2008ge,-0.00011099999999999999,False
2009jb,-0.0001360000000000007,False
2010el,-3.300000000000004e-05,False
2010gn,-0.00012900000000000064,False
2010gp,9.30000000000028e-05,False
2010ih,0.0005779999999999995,False
2010jn,0.0009989999999999999,False
2010kg,-0.00018699999999999967,False
2010ko,0.00014899999999999983,False
2011aa,5.10000000000007e-05,False
2011ao,0.0009329999999999998,False
2011ay,0.00025199999999999875,False
2011B,6.100000000000029e-05,False
2011de,3.500000000000031e-05,False
2011dm,-0.0004800000000000004,False
2011dn,-0.000843,False
2011eh,0.0005249999999999994,False
2011gu,-0.001118000000000001,False
2011hb,-0.0012649999999999988,False
2011ia,0.00036599999999999827,False
2011im,-0.001235,False
2011iv,-0.0003049999999999997,False
2012fr,-0.00032200000000000024,False
2012hr,0.00031899999999999984,False
2012ij,0.0011260000000000003,False
2012V,-0.0005219999999999999,False
2012Z,-0.0005050000000000002,False
2013aa,0.0006679999999999993,False
2013ag,0.0009439999999999969,False
2013cg,0.0010699999999999998,False
2013cs,0.0010550000000000004,False
2013dh,0.00048299999999999906,False
2013E,0.001059000000000001,False
2013eh,0.00013900000000000023,False
2013eu,8.99999999999998e-05,False
2013fn,-0.0009849999999999998,False
2013fy,-0.000675000000000002,False
2013gs,0.0006679999999999985,False
2013hh,0.0011369999999999991,False
2013hn,0.0009060000000000006,False
2013Q,-0.0011450000000000002,False
2014at,-0.0006979999999999972,False
2014bv,0.0001460000000000003,False
2014cd,-4.000000000000184e-05,False
2014dg,-0.0002899999999999999,False
2014dt,0.0011580000000000002,False
2014eg,-0.0002920000000000006,False
2014ek,-0.0011450000000000002,False
2014I,0.00022099999999999898,False
2014R,0.00051,False
2015bp,0.0006370000000000004,False
2015F,0.00039599999999999965,False
2008J,-0.0007439999999999999,False
2008ha,-0.0012090000000000004,False
2009J,0.0002020000000000008,False
2010ae,0.00046999999999999993,False
2012ht,0.00113,False
2001bg,0.000771,False
2019np,0.0009789999999999998,False
1999bh,0.00046299999999999814,False
1999dg,0.0005719999999999996,False
2000cp,0.0002930000000000016,False
2000cu,-0.0005479999999999999,False
2000cw,-0.001169,False
2000dg,-0.001244000000000002,False
2000dm,-0.00039000000000000146,False
2000dn,-0.0012519999999999962,False
2000dr,-0.0010229999999999996,False
2001bp,0.00022099999999999898,False
2001br,-0.0004359999999999989,False
2001cj,0.0008240000000000018,False
2001ck,0.0005990000000000023,False
2001dl,-0.001118000000000001,False
2001E,0.0012400000000000015,False
2001ex,0.00018800000000000067,False
2002aw,3.900000000000084e-05,False
2002cf,0.001129999999999999,False
2002cs,-0.00046100000000000134,False
2002cu,-0.00035500000000000115,False
2002dl,-0.0010980000000000018,False
2002eb,-0.0011779999999999985,False
2002ef,-0.0011639999999999984,False
2002el,-0.0009440000000000004,False
2002jg,-0.0011300000000000008,False
2003gn,-0.001222999999999995,False
2003gq,-0.0011369999999999991,False
2003gs,-0.0008019999999999998,False
2003gt,-0.0009700000000000004,False
2003he,-0.0012210000000000033,False
2003hv,-0.000516,False
2003Y,0.0004299999999999998,False
2004at,0.000503,False
2004bd,0.000961,False
2004bk,0.0009930000000000008,False
2004br,0.001176,False
2004bv,-0.0007770000000000016,False
2004bw,0.0006679999999999985,False
2004E,0.0008359999999999999,False
2004fz,-0.0008609999999999972,False
2004S,0.000501999999999999,False
2005bc,0.00051,False
2005cc,0.0005880000000000008,False
2005de,-0.00031400000000000004,False
2005dm,-0.0008270000000000013,False
2008cl,7.899999999999574e-05,False
2008ei,-0.001118000000000001,False
SNF20071021-000,-0.0012040000000000002,False
SNF20080514-002,0.0009820000000000002,False
SNF20080909-030,-0.0012080000000000007,False
2017gup,-0.0005569999999999985,False
2017hoq,8.800000000000127e-05,False
2018enc,0.0006049999999999979,False
2018fop,-0.0010450000000000008,False
2018jjd,-0.0001349999999999997,False
ASASSN-16bn,-0.0006390000000000007,False
ASASSN-16es,0.001233999999999999,False
ASASSN-16hh,-0.0009099999999999976,False
ASASSN-16lc,-0.0003149999999999993,False
ASASSN-18da,-0.0004299999999999998,False
ASASSN-18iu,-0.00027900000000000147,False
2019ein,0.0006180000000000005,False
2021pit,-0.00021700000000000018,False
2021hpr,0.00019800000000000026,False
2015bo,0.0007980000000000001,False
722,-0.0012980000000000075,False
739,-0.0012119999999999909,False
744,-0.0013090000000000046,False
762,-0.0012879999999999836,False
774,-0.0010570000000000024,False
1032,-0.0007160000000000222,False
1112,-0.0015200000000000213,False
1119,-0.0014129999999999976,False
1166,-0.001576999999999995,False
1241,-0.0013099999999999917,False
1253,-0.0014120000000000243,False
1316,-0.0014530000000000098,False
1371,-0.00137000000000001,False
1580,-0.0007759999999999989,False
1688,-0.0014899999999999913,False
1794,-0.0012090000000000156,False
2017,-0.0014639999999999653,False
2030,-0.0012169999999999959,False
2031,-0.0011410000000000031,False
2102,-0.0010900000000000076,False
2165,-0.001377000000000017,False
2246,-0.0006779999999999842,False
2308,-0.0009709999999999996,False
2330,-0.0014069999999999916,False
2372,-0.0008739999999999859,False
2422,-0.0015060000000000073,False
2440,-0.0008430000000000104,False
2533,-0.0011920000000000264,False
2561,-0.0007169999999999954,False
2635,-0.0005900000000000072,False
2689,-0.0011319999999999941,False
2789,-0.001576999999999995,False
2916,-0.0011700000000000044,False
2943,-0.0013460000000000139,False
2992,-0.0005209999999999937,False
3080,-0.0012520000000000031,False
3087,-0.0011989999999999779,False
3199,-0.0014849999999999863,False
3256,-0.0012850000000000084,False
3317,-0.0011039999999999939,False
3377,-0.0006150000000000044,False
3451,-0.001488000000000017,False
3452,-0.001468999999999998,False
3592,-0.0011390000000000011,False
3901,-0.0011590000000000003,False
4000,-0.0011390000000000011,False
4046,-0.0015570000000000306,False
4241,-0.00148100000000001,False
4524,-0.0006970000000000032,False
4679,-0.001358999999999999,False
5103,-0.0013930000000000053,False
5183,-0.0007039999999999824,False
5350,-0.0010900000000000076,False
5391,-0.0006809999999999872,False
5395,-0.0006460000000000077,False
5533,-0.0014119999999999966,False
5549,-0.0013230000000000047,False
5550,-0.001363000000000003,False
5588,-0.001674999999999982,False
5635,-0.0013970000000000093,False
5717,-0.0013259999999999939,False
5736,-0.0012550000000000061,False
5737,-0.0013940000000000063,False
5751,-0.0012679999999999914,False
5844,-0.0015040000000000053,False
5944,-0.0009599999999999956,False
5957,-0.0010689999999999866,False
5966,-0.0014120000000000243,False
5994,-0.0011879999999999946,False
6057,-0.0005549999999999999,False
6100,-0.0015659999999999563,False
6108,-0.001497000000000026,False
6127,-0.0015499999999999958,False
6137,-0.0012220000000000009,False
6192,-0.0015610000000000346,False
6196,-0.0015410000000000146,False
6249,-0.0015249999999999986,False
6295,-0.0010690000000000005,False
6304,-0.0011410000000000031,False
6315,-0.0012360000000000149,False
6406,-0.0007209999999999994,False
6422,-0.0014490000000000058,False
6558,-0.0010709999999999956,False
6649,-0.0011120000000000019,False
6699,-0.0014500000000000068,False
6773,-0.0009800000000000086,False
6777,-0.0015379999999999838,False
6780,-0.0013880000000000003,False
6924,-0.0015999999999999903,False
6933,-0.001367000000000007,False
6936,-0.0013110000000000066,False
7017,-0.0011240000000000139,False
7143,-0.001595000000000013,False
7147,-0.001356999999999997,False
7243,-0.0013890000000000013,False
7473,-0.0014280000000000126,False
7475,-0.001548999999999967,False
7512,-0.0006480000000000097,False
7779,-0.001336999999999977,False
7847,-0.0010559999999999736,False
7876,-0.0011269999999999891,False
8030,-0.0010670000000000401,False
8046,-0.0009650000000000492,False
8151,-0.0011680000000000006,False
8213,-0.0014280000000000126,False
8495,-0.0014490000000000058,False
8598,-0.0009590000000000432,False
8719,-0.0012840000000000074,False
8921,-0.0012919999999999876,False
9032,-0.0015100000000000113,False
9045,-0.0016999999999999793,False
9207,-0.001409000000000049,False
